tpid,tp_name,genename1,genename2,fd_name,md_name,specific_cancer
TP00365,CD274;ICOS,CD274,ICOS,Lung Cancer,Lung Cancer,Lung Cancer
TP00366,CD274;IDO1,CD274,IDO1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00366,CD274;IDO1,CD274,IDO1,Lung Cancer,Lung Cancer,Lung Cancer
TP00368,CD274;IL15RA,CD274,IL15RA,Lung Cancer,Lung Cancer,Lung Cancer
TP00369,CD274;IL2RA,CD274,IL2RA,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00370,CD274;IL2RB,CD274,IL2RB,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00370,CD274;IL2RB,CD274,IL2RB,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00370,CD274;IL2RB,CD274,IL2RB,Lung Cancer,Lung Cancer,Lung Cancer
TP00371,CD274;IL2RG,CD274,IL2RG,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00372,CD274;IL6R,CD274,IL6R,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00372,CD274;IL6R,CD274,IL6R,Lung Cancer,Lung Cancer,Lung Cancer
TP00373,CD274;IL7R,CD274,IL7R,Lung Cancer,Lung Cancer,Lung Cancer
TP00373,CD274;IL7R,CD274,IL7R,Melanoma,Melanoma,Melanoma
TP00374,CD274;KDM1A,CD274,KDM1A,Lung Cancer,Lung Cancer,Lung Cancer
TP00375,CD274;KDR,CD274,KDR,Lung Cancer,Lung Cancer,Lung Cancer
TP00375,CD274;KDR,CD274,KDR,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00375,CD274;KDR,CD274,KDR,Liver Cancer,Liver Cancer,Liver Cancer
