tpid,tp_name,genename1,genename2,fd_name,md_name,specific_cancer
TP00147,ATR;CD274,ATR,CD274,Liver Cancer,Liver Cancer,Liver Cancer
TP00147,ATR;CD274,ATR,CD274,Melanoma,Melanoma,Melanoma
TP00148,ATR;PARP1,ATR,PARP1,Lung Cancer,Lung Cancer,Lung Cancer
TP00148,ATR;PARP1,ATR,PARP1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00149,ATR;PARP2,ATR,PARP2,Lung Cancer,Lung Cancer,Lung Cancer
TP00149,ATR;PARP2,ATR,PARP2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00150,ATR;PDCD1,ATR,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00155,AURKA;EGFR,AURKA,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00156,AURKA;KRAS,AURKA,KRAS,Lung Cancer,Lung Cancer,Lung Cancer
TP00157,AURKA;MTOR,AURKA,MTOR,Breast Cancer,Breast Cancer,Breast Cancer
TP00162,AXL;CD274,AXL,CD274,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00162,AXL;CD274,AXL,CD274,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00163,AXL;EGFR,AXL,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00164,AXL;PDCD1,AXL,PDCD1,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00164,AXL;PDCD1,AXL,PDCD1,Liver Cancer,Liver Cancer,Liver Cancer
TP00164,AXL;PDCD1,AXL,PDCD1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00164,AXL;PDCD1,AXL,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00170,BCL2;CDK4,BCL2,CDK4,Breast Cancer,Breast Cancer,Breast Cancer
TP00172,BCL2;CDK6,BCL2,CDK6,Breast Cancer,Breast Cancer,Breast Cancer
TP00174,BCL2;EGFR,BCL2,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00175,BCL2;ESR1,BCL2,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00176,BCL2;ESR2,BCL2,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00195,BCL2;PDCD1,BCL2,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00204,BIRC2;CD274,BIRC2,CD274,Lung Cancer,Lung Cancer,Lung Cancer
TP00205,BIRC2;PDCD1,BIRC2,PDCD1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00205,BIRC2;PDCD1,BIRC2,PDCD1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00205,BIRC2;PDCD1,BIRC2,PDCD1,Breast Cancer,Breast Cancer,Breast Cancer
TP00205,BIRC2;PDCD1,BIRC2,PDCD1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00205,BIRC2;PDCD1,BIRC2,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00206,BIRC2;TNFRSF10B,BIRC2,TNFRSF10B,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00207,BIRC3;CD274,BIRC3,CD274,Lung Cancer,Lung Cancer,Lung Cancer
TP00208,BIRC3;PDCD1,BIRC3,PDCD1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00208,BIRC3;PDCD1,BIRC3,PDCD1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00208,BIRC3;PDCD1,BIRC3,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00209,BIRC3;TNFRSF10B,BIRC3,TNFRSF10B,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00210,BIRC5;CD3D,BIRC5,CD3D,Lung Cancer,Lung Cancer,Lung Cancer
TP00211,BIRC5;CD3E,BIRC5,CD3E,Lung Cancer,Lung Cancer,Lung Cancer
TP00212,BIRC5;CD3G,BIRC5,CD3G,Lung Cancer,Lung Cancer,Lung Cancer
TP00213,BRAF;CDK4,BRAF,CDK4,Lung Cancer,Lung Cancer,Lung Cancer
TP00213,BRAF;CDK4,BRAF,CDK4,Melanoma,Melanoma,Melanoma
TP00214,BRAF;CDK6,BRAF,CDK6,Lung Cancer,Lung Cancer,Lung Cancer
TP00214,BRAF;CDK6,BRAF,CDK6,Melanoma,Melanoma,Melanoma
TP00215,BRAF;CSF1R,BRAF,CSF1R,Melanoma,Melanoma,Melanoma
TP00216,BRAF;CTLA4,BRAF,CTLA4,Melanoma,Melanoma,Melanoma
TP00217,BRAF;EGFR,BRAF,EGFR,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00217,BRAF;EGFR,BRAF,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00219,BRAF;IL2RA,BRAF,IL2RA,Melanoma,Melanoma,Melanoma
TP00220,BRAF;IL2RB,BRAF,IL2RB,Melanoma,Melanoma,Melanoma
TP00221,BRAF;IL2RG,BRAF,IL2RG,Melanoma,Melanoma,Melanoma
TP00222,BRAF;KRAS,BRAF,KRAS,Lung Cancer,Lung Cancer,Lung Cancer
TP00223,BRAF;MAP2K1,BRAF,MAP2K1,Lung Cancer,Lung Cancer,Lung Cancer
TP00223,BRAF;MAP2K1,BRAF,MAP2K1,Melanoma,Melanoma,Melanoma
TP00223,BRAF;MAP2K1,BRAF,MAP2K1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00223,BRAF;MAP2K1,BRAF,MAP2K1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00224,BRAF;MAP2K2,BRAF,MAP2K2,Lung Cancer,Lung Cancer,Lung Cancer
TP00224,BRAF;MAP2K2,BRAF,MAP2K2,Melanoma,Melanoma,Melanoma
TP00224,BRAF;MAP2K2,BRAF,MAP2K2,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00224,BRAF;MAP2K2,BRAF,MAP2K2,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00225,BRAF;MAPK1,BRAF,MAPK1,Lung Cancer,Lung Cancer,Lung Cancer
TP00225,BRAF;MAPK1,BRAF,MAPK1,Melanoma,Melanoma,Melanoma
